Date,CPUTemp,CPU Usage,RAM Usage,GPS,IMU,UV,Dallas Temperature
2024-07-17 15:01:28,{'Temperature': 79.85},{'Usage': 0.2},{'Usage': 13.4},Error,"{'Acceleration': [1.0079588989257813, -0.6536170532226562, -9.981426721191406], 'Gyro': [-0.009059724610687023, 0.005595712259541985, 0.0002664624885496183], 'Magnetic': [-31.65, 31.95, -35.25]}","{'UVA': 3.95843505859375, 'UVB': 0.167266845703125, 'UVC': 0.093719482421875, 'Temperature': 30.700000000000003}",Error
2024-07-17 15:01:38,{'Temperature': 80.95},{'Usage': 6.8},{'Usage': 13.4},Error,"{'Acceleration': [1.0007762939453124, -0.6943184814453125, -9.957484704589843], 'Gyro': [-0.010658499541984735, 0.013589586916030535, -0.002931087374045802], 'Magnetic': [-30.9, 32.85, -34.199999999999996]}","{'UVA': 3.94805908203125, 'UVB': 0.1614990234375, 'UVC': 0.088653564453125, 'Temperature': 30.700000000000003}",Error
2024-07-17 15:01:44,{'Temperature': 77.1},{'Usage': 4.8},{'Usage': 13.4},Error,"{'Acceleration': [0.9457096557617187, -0.7302315063476562, -9.943119494628906], 'Gyro': [-0.005595712259541985, 0.006928024702290077, -0.000799387465648855], 'Magnetic': [-32.4, 31.95, -34.949999999999996]}","{'UVA': 3.97918701171875, 'UVB': 0.1845703125, 'UVC': 0.108917236328125, 'Temperature': 30.700000000000003}",Error
2024-07-17 15:01:51,{'Temperature': 78.2},{'Usage': 0.2},{'Usage': 13.4},Error,"{'Acceleration': [1.01514150390625, -0.7350199096679687, -9.983820922851562], 'Gyro': [-0.009059724610687023, 0.0053292497709923675, 0.0021316999083969466], 'Magnetic': [-31.2, 33.6, -33.75]}","{'UVA': 4.01031494140625, 'UVB': 0.21917724609375, 'UVC': 0.13677978515625, 'Temperature': 30.700000000000003}",Error
2024-07-17 15:01:58,{'Temperature': 78.2},{'Usage': 11.3},{'Usage': 13.4},Error,"{'Acceleration': [1.0510545288085937, -0.6727706665039062, -9.988609326171874], 'Gyro': [-0.008526799633587786, 0.003730474839694657, -0.0034640123511450386], 'Magnetic': [-31.5, 33.0, -35.85]}","{'UVA': 3.97918701171875, 'UVB': 0.1845703125, 'UVC': 0.108917236328125, 'Temperature': 30.700000000000003}",Error
2024-07-17 15:02:05,{'Temperature': 77.1},{'Usage': 1.3},{'Usage': 13.4},Error,"{'Acceleration': [1.0390835205078124, -0.6751648681640625, -9.988609326171874], 'Gyro': [-0.00799387465648855, 0.010125574564885496, -0.004529862305343512], 'Magnetic': [-30.75, 32.55, -34.05]}","{'UVA': 4.0155029296875, 'UVB': 0.27685546875, 'UVC': 0.16717529296875, 'Temperature': 30.650000000000006}",Error
2024-07-17 15:02:15,{'Temperature': 78.2},{'Usage': 0.0},{'Usage': 13.4},Error,"{'Acceleration': [1.005564697265625, -0.7206546997070312, -9.945513696289062], 'Gyro': [-0.008793262122137404, 0.0034640123511450386, 0.0002664624885496183], 'Magnetic': [0.0, 0.0, 0.0]}","{'UVA': 3.99993896484375, 'UVB': 0.190338134765625, 'UVC': 0.113983154296875, 'Temperature': 30.650000000000006}",Error
2024-07-17 15:02:25,{'Temperature': 77.1},{'Usage': 15.9},{'Usage': 13.5},Error,"{'Acceleration': [1.0199299072265624, -0.7685387329101562, -9.967061511230469], 'Gyro': [-0.0034640123511450386, 0.005862174748091604, -0.0013323124427480919], 'Magnetic': [-31.2, 32.4, -33.75]}","{'UVA': 4.02587890625, 'UVB': 0.230712890625, 'UVC': 0.141845703125, 'Temperature': 30.650000000000006}",Error
2024-07-17 15:02:32,{'Temperature': 76.0},{'Usage': 0.3},{'Usage': 13.5},Error,"{'Acceleration': [1.0007762939453124, -0.7445967163085937, -9.986215124511718], 'Gyro': [-0.010125574564885496, 0.00479632479389313, 0.0002664624885496183], 'Magnetic': [-31.65, 34.35, -35.25]}","{'UVA': 4.01031494140625, 'UVB': 0.230712890625, 'UVC': 0.149444580078125, 'Temperature': 30.650000000000006}",Error
2024-07-17 15:02:39,{'Temperature': 78.2},{'Usage': 1.0},{'Usage': 13.5},Error,"{'Acceleration': [0.9528922607421875, -0.6967126831054687, -9.964667309570311], 'Gyro': [-0.00639509972519084, -0.00159877493129771, -0.00159877493129771], 'Magnetic': [-31.799999999999997, 34.199999999999996, -34.05]}","{'UVA': 3.9739990234375, 'UVB': 0.155731201171875, 'UVC': 0.08612060546875, 'Temperature': 30.650000000000006}",Error
2024-07-17 15:02:49,{'Temperature': 77.1},{'Usage': 14.1},{'Usage': 13.5},Error,"{'Acceleration': [0.9744400756835937, -0.689530078125, -9.919177478027343], 'Gyro': [-0.0061286372366412215, 0.009059724610687023, 0.0010658499541984733], 'Magnetic': [-31.95, 33.15, -33.449999999999996]}","{'UVA': 4.0362548828125, 'UVB': 0.224945068359375, 'UVC': 0.139312744140625, 'Temperature': 30.599999999999994}",Error
2024-07-17 15:02:59,{'Temperature': 76.55},{'Usage': 0.2},{'Usage': 13.5},Error,"{'Acceleration': [1.0342951171875, -0.6847416748046875, -9.969455712890625], 'Gyro': [-0.006661562213740459, 0.00799387465648855, -0.0010658499541984733], 'Magnetic': [-30.9, 33.15, -33.0]}","{'UVA': 3.97918701171875, 'UVB': 0.167266845703125, 'UVC': 0.09625244140625, 'Temperature': 30.549999999999997}",Error
2024-07-17 15:03:06,{'Temperature': 76.55},{'Usage': 0.3},{'Usage': 13.5},Error,"{'Acceleration': [0.9313444458007812, -0.699106884765625, -9.928754284667969], 'Gyro': [-0.009059724610687023, 0.007460949679389314, 0.0018652374198473284], 'Magnetic': [-31.049999999999997, 33.0, -32.85]}","{'UVA': 3.97918701171875, 'UVB': 0.1614990234375, 'UVC': 0.08612060546875, 'Temperature': 30.599999999999994}",Error
2024-07-17 15:03:16,{'Temperature': 77.65},{'Usage': 0.0},{'Usage': 13.5},Error,"{'Acceleration': [0.9888052856445312, -0.6943184814453125, -9.880870251464843], 'Gyro': [-0.013856049404580155, 0.004529862305343512, 0.000799387465648855], 'Magnetic': [-33.0, 33.449999999999996, -34.8]}","{'UVA': 4.02069091796875, 'UVB': 0.201873779296875, 'UVC': 0.12158203125, 'Temperature': 30.549999999999997}",Error
