Date,CPUTemp,CPU Usage,RAM Usage,GPS,IMU,UV,Dallas Temperature
2024-07-17 15:07:04,{'Temperature': 77.65},{'Usage': 0.3},{'Usage': 13.4},Error,"{'Acceleration': [1.0534487304687499, -0.7637503295898437, -9.892841259765625], 'Gyro': [-0.008526799633587786, 0.00319754986259542, -0.00159877493129771], 'Magnetic': [-30.75, 31.049999999999997, -37.35]}","{'UVA': 3.797607421875, 'UVB': 0.190338134765625, 'UVC': 0.12158203125, 'Temperature': 30.200000000000003}",Error
2024-07-17 15:07:11,{'Temperature': 77.65},{'Usage': 12.6},{'Usage': 13.5},Error,"{'Acceleration': [1.0438719238281249, -0.7445967163085937, -9.988609326171874], 'Gyro': [-0.006661562213740459, 0.005595712259541985, 0.002398162396946565], 'Magnetic': [-31.2, 31.2, -37.949999999999996]}","{'UVA': 3.82354736328125, 'UVB': 0.213409423828125, 'UVC': 0.139312744140625, 'Temperature': 30.200000000000003}",Error
2024-07-17 15:07:18,{'Temperature': 76.55},{'Usage': 1.5},{'Usage': 13.5},Error,"{'Acceleration': [1.0079588989257813, -0.7661445312499999, -9.919177478027343], 'Gyro': [-0.007727412167938932, 0.0061286372366412215, 0.00159877493129771], 'Magnetic': [-31.5, 30.599999999999998, -34.8]}","{'UVA': 3.81317138671875, 'UVB': 0.201873779296875, 'UVC': 0.1317138671875, 'Temperature': 30.200000000000003}",Error
2024-07-17 15:07:25,{'Temperature': 77.65},{'Usage': 0.2},{'Usage': 13.5},Error,"{'Acceleration': [1.0295067138671874, -0.718260498046875, -9.938331091308592], 'Gyro': [-0.00959264958778626, 0.00479632479389313, 0.0013323124427480919], 'Magnetic': [-31.799999999999997, 30.299999999999997, -36.6]}","{'UVA': 3.7872314453125, 'UVB': 0.167266845703125, 'UVC': 0.11651611328125, 'Temperature': 30.200000000000003}",Error
2024-07-17 15:07:35,{'Temperature': 75.45},{'Usage': 0.3},{'Usage': 13.5},Error,"{'Acceleration': [1.01514150390625, -0.7350199096679687, -9.871293444824218], 'Gyro': [-0.009326187099236643, 0.006661562213740459, -0.0021316999083969466], 'Magnetic': [-31.65, 31.95, -36.75]}","{'UVA': 1.38519287109375, 'UVB': 0.155731201171875, 'UVC': 0.12158203125, 'Temperature': 30.150000000000006}",Error
2024-07-17 15:07:41,{'Temperature': 75.45},{'Usage': 0.2},{'Usage': 13.5},Error,"{'Acceleration': [1.0941501586914062, -0.70868369140625, -9.964667309570311], 'Gyro': [-0.0319754986259542, 0.00159877493129771, 0.00985911207633588], 'Magnetic': [-30.9, 31.95, -36.0]}","{'UVA': 1.4422607421875, 'UVB': 0.1614990234375, 'UVC': 0.12158203125, 'Temperature': 30.150000000000006}",Error
2024-07-17 15:07:48,{'Temperature': 76.55},{'Usage': 0.0},{'Usage': 13.5},Error,"{'Acceleration': [1.0558429321289062, -0.7062894897460937, -9.955090502929687], 'Gyro': [-0.007194487190839696, 0.004529862305343512, -0.0002664624885496183], 'Magnetic': [-32.55, 33.0, -36.9]}","{'UVA': 3.67828369140625, 'UVB': 0.2537841796875, 'UVC': 0.154510498046875, 'Temperature': 30.150000000000006}",Error
2024-07-17 15:07:58,{'Temperature': 76.0},{'Usage': 0.5},{'Usage': 13.5},Error,"{'Acceleration': [1.0582371337890624, -0.6416460449218749, -9.938331091308592], 'Gyro': [-0.01279019945038168, 0.004529862305343512, 0.003996937328244275], 'Magnetic': [-36.6, 24.15, -29.7]}","{'UVA': 4.26971435546875, 'UVB': 0.12689208984375, 'UVC': 0.0911865234375, 'Temperature': 30.150000000000006}",Error
2024-07-17 15:08:05,{'Temperature': 76.0},{'Usage': 0.5},{'Usage': 13.5},Error,"{'Acceleration': [1.0606313354492187, -0.7038952880859375, -9.974244116210937], 'Gyro': [-0.00959264958778626, 0.002931087374045802, 0.0002664624885496183], 'Magnetic': [-36.0, 23.099999999999998, -30.599999999999998]}","{'UVA': 4.36309814453125, 'UVB': 0.236480712890625, 'UVC': 0.16717529296875, 'Temperature': 30.150000000000006}",Error
2024-07-17 15:08:15,{'Temperature': 76.55},{'Usage': 0.0},{'Usage': 13.5},Error,"{'Acceleration': [1.0749965454101562, -0.6392518432617187, -9.91438907470703], 'Gyro': [-0.008793262122137404, 0.007194487190839696, -0.0021316999083969466], 'Magnetic': [0.0, 0.0, 0.0]}","{'UVA': 4.3267822265625, 'UVB': 0.190338134765625, 'UVC': 0.144378662109375, 'Temperature': 30.150000000000006}",Error
2024-07-17 15:08:25,{'Temperature': 73.8},{'Usage': 13.6},{'Usage': 13.5},Error,"{'Acceleration': [1.0175357055664063, -0.6703764648437499, -9.91438907470703], 'Gyro': [-0.009059724610687023, 0.003996937328244275, 0.002931087374045802], 'Magnetic': [-37.199999999999996, 22.349999999999998, -31.049999999999997]}","{'UVA': 4.3682861328125, 'UVB': 0.213409423828125, 'UVC': 0.159576416015625, 'Temperature': 30.150000000000006}",Error
2024-07-17 15:08:35,{'Temperature': 75.45},{'Usage': 0.2},{'Usage': 13.5},Error,"{'Acceleration': [1.0414777221679687, -0.6751648681640625, -9.907206469726562], 'Gyro': [-0.00799387465648855, 0.008793262122137404, -0.000799387465648855], 'Magnetic': [-36.6, 22.95, -30.45]}","{'UVA': 4.32159423828125, 'UVB': 0.2076416015625, 'UVC': 0.1519775390625, 'Temperature': 30.150000000000006}",Error
2024-07-17 15:08:45,{'Temperature': 75.45},{'Usage': 0.0},{'Usage': 13.5},Error,"{'Acceleration': [1.0319009155273438, -0.6847416748046875, -9.907206469726562], 'Gyro': [-0.007194487190839696, 0.0053292497709923675, 0.000799387465648855], 'Magnetic': [-36.6, 22.95, -30.15]}","{'UVA': 4.295654296875, 'UVB': 0.236480712890625, 'UVC': 0.1722412109375, 'Temperature': 30.150000000000006}",Error
2024-07-17 15:08:52,{'Temperature': 76.0},{'Usage': 0.2},{'Usage': 13.5},Error,"{'Acceleration': [0.9959878906249999, -0.679953271484375, -9.983820922851562], 'Gyro': [-0.008793262122137404, 0.000799387465648855, -0.0010658499541984733], 'Magnetic': [-36.0, 24.75, -31.799999999999997]}","{'UVA': 4.26971435546875, 'UVB': 0.12689208984375, 'UVC': 0.0911865234375, 'Temperature': 30.150000000000006}",Error
2024-07-17 15:09:02,{'Temperature': 75.45},{'Usage': 14.1},{'Usage': 13.5},Error,"{'Acceleration': [1.0462661254882812, -0.6775590698242188, -9.947907897949218], 'Gyro': [-0.010125574564885496, 0.006928024702290077, 0.00639509972519084], 'Magnetic': [0.0, 0.0, 0.0]}","{'UVA': 4.3267822265625, 'UVB': 0.21917724609375, 'UVC': 0.15704345703125, 'Temperature': 30.150000000000006}",Error
2024-07-17 15:09:12,{'Temperature': 74.9},{'Usage': 0.5},{'Usage': 13.5},Error,"{'Acceleration': [0.9959878906249999, -0.689530078125, -9.909600671386718], 'Gyro': [-0.005062787282442748, 0.007460949679389314, -0.0018652374198473284], 'Magnetic': [-34.8, 24.3, -29.849999999999998]}","{'UVA': 4.31640625, 'UVB': 0.190338134765625, 'UVC': 0.13677978515625, 'Temperature': 30.150000000000006}",Error
2024-07-17 15:09:19,{'Temperature': 74.9},{'Usage': 0.2},{'Usage': 13.5},Error,"{'Acceleration': [1.024718310546875, -0.6584054565429687, -9.976638317871092], 'Gyro': [-0.010924962030534353, 0.01119142451908397, 0.0], 'Magnetic': [-37.65, 24.15, -30.9]}","{'UVA': 4.32159423828125, 'UVB': 0.213409423828125, 'UVC': 0.144378662109375, 'Temperature': 30.150000000000006}",Error
2024-07-17 15:09:26,{'Temperature': 76.0},{'Usage': 0.3},{'Usage': 13.6},Error,"{'Acceleration': [1.024718310546875, -0.7230489013671875, -9.97184991455078], 'Gyro': [-0.007727412167938932, 0.002398162396946565, 0.00319754986259542], 'Magnetic': [-37.199999999999996, 25.2, -30.299999999999997]}","{'UVA': 4.31640625, 'UVB': 0.17303466796875, 'UVC': 0.129180908203125, 'Temperature': 30.200000000000003}",Error
2024-07-17 15:09:33,{'Temperature': 73.25},{'Usage': 0.2},{'Usage': 13.6},Error,"{'Acceleration': [1.0438719238281249, -0.7038952880859375, -9.962273107910155], 'Gyro': [-0.0013323124427480919, 0.0061286372366412215, -0.0005329249770992366], 'Magnetic': [-37.35, 24.0, -30.599999999999998]}","{'UVA': 4.28009033203125, 'UVB': 0.155731201171875, 'UVC': 0.108917236328125, 'Temperature': 30.200000000000003}",Error
2024-07-17 15:09:40,{'Temperature': 75.45},{'Usage': 0.2},{'Usage': 13.5},Error,"{'Acceleration': [0.9888052856445312, -0.6679822631835937, -9.969455712890625], 'Gyro': [-0.00959264958778626, -0.0005329249770992366, 0.0021316999083969466], 'Magnetic': [-36.449999999999996, 23.099999999999998, -31.349999999999998]}","{'UVA': 4.337158203125, 'UVB': 0.213409423828125, 'UVC': 0.15704345703125, 'Temperature': 30.150000000000006}",Error
