Date,CPUTemp,CPU Usage,RAM Usage,GPS,IMU,UV,Dallas Temperature
2024-07-17 16:37:10,{'Temperature': 62.25},{'Usage': 0.5},{'Usage': 12.8},Error,"{'Acceleration': [1.0486603271484374, -0.679953271484375, -9.909600671386718], 'Gyro': [-0.011990811984732825, 0.004529862305343512, 0.0026646248854961837], 'Magnetic': [0.0, 0.0, 0.0]}","{'UVA': 0.1971435546875, 'UVB': 0.1614990234375, 'UVC': 0.119049072265625, 'Temperature': 26.75}",Error
2024-07-17 16:37:20,{'Temperature': 60.05},{'Usage': 0.2},{'Usage': 12.8},Error,"{'Acceleration': [1.0749965454101562, -0.7517793212890624, -9.897629663085937], 'Gyro': [-0.005062787282442748, 0.0, 0.005862174748091604], 'Magnetic': [-31.5, 19.95, -40.35]}","{'UVA': 0.20233154296875, 'UVB': 0.178802490234375, 'UVC': 0.124114990234375, 'Temperature': 26.700000000000003}",Error
2024-07-17 16:37:27,{'Temperature': 60.05},{'Usage': 14.4},{'Usage': 12.8},Error,"{'Acceleration': [1.0486603271484374, -0.6871358764648438, -9.9215716796875], 'Gyro': [-0.010392037053435116, 0.004263399816793893, -0.0010658499541984733], 'Magnetic': [-30.75, 19.65, -41.4]}","{'UVA': 0.12969970703125, 'UVB': 0.09228515625, 'UVC': 0.06585693359375, 'Temperature': 26.700000000000003}",Error
2024-07-17 16:37:34,{'Temperature': 59.5},{'Usage': 0.3},{'Usage': 12.8},Error,"{'Acceleration': [1.0821791503906248, -0.6775590698242188, -9.938331091308592], 'Gyro': [-0.008260337145038169, 0.00799387465648855, 0.00479632479389313], 'Magnetic': [-31.5, 18.9, -39.9]}","{'UVA': 0.18157958984375, 'UVB': 0.138427734375, 'UVC': 0.098785400390625, 'Temperature': 26.700000000000003}",Error
2024-07-17 16:37:41,{'Temperature': 60.05},{'Usage': 0.0},{'Usage': 12.8},Error,"{'Acceleration': [1.0390835205078124, -0.6655880615234374, -9.969455712890625], 'Gyro': [-0.002931087374045802, 0.004263399816793893, -0.0002664624885496183], 'Magnetic': [-31.2, 17.4, -41.25]}","{'UVA': 0.12969970703125, 'UVB': 0.09228515625, 'UVC': 0.053192138671875, 'Temperature': 26.700000000000003}",Error
2024-07-17 16:37:48,{'Temperature': 58.95},{'Usage': 0.3},{'Usage': 12.8},Error,"{'Acceleration': [1.0797849487304687, -0.7254431030273437, -9.919177478027343], 'Gyro': [-0.008260337145038169, 0.004263399816793893, 0.0018652374198473284], 'Magnetic': [-30.75, 19.65, -41.699999999999996]}","{'UVA': 0.09857177734375, 'UVB': 0.08074951171875, 'UVC': 0.048126220703125, 'Temperature': 26.700000000000003}",Error
2024-07-17 16:37:58,{'Temperature': 61.15},{'Usage': 0.0},{'Usage': 12.8},Error,"{'Acceleration': [1.0558429321289062, -0.7038952880859375, -9.911994873046874], 'Gyro': [-0.004263399816793893, 0.008260337145038169, 0.00319754986259542], 'Magnetic': [-31.2, 19.05, -40.5]}","{'UVA': 0.0933837890625, 'UVB': 0.09228515625, 'UVC': 0.05572509765625, 'Temperature': 26.700000000000003}",Error
2024-07-17 16:38:05,{'Temperature': 60.6},{'Usage': 0.3},{'Usage': 12.8},Error,"{'Acceleration': [1.0582371337890624, -0.7015010864257812, -10.01015714111328], 'Gyro': [-0.006661562213740459, 0.006661562213740459, -0.00319754986259542], 'Magnetic': [-31.5, 19.65, -41.699999999999996]}","{'UVA': 0.1556396484375, 'UVB': 0.144195556640625, 'UVC': 0.103851318359375, 'Temperature': 26.650000000000006}",Error
2024-07-17 16:38:12,{'Temperature': 59.5},{'Usage': 0.5},{'Usage': 12.8},Error,"{'Acceleration': [1.0414777221679687, -0.6871358764648438, -9.962273107910155], 'Gyro': [-0.00985911207633588, 0.0053292497709923675, -0.000799387465648855], 'Magnetic': [-31.2, 19.8, -40.8]}","{'UVA': 0.19195556640625, 'UVB': 0.14996337890625, 'UVC': 0.113983154296875, 'Temperature': 26.700000000000003}",Error
2024-07-17 16:38:18,{'Temperature': 60.05},{'Usage': 0.0},{'Usage': 12.8},Error,"{'Acceleration': [1.0414777221679687, -0.6727706665039062, -9.976638317871092], 'Gyro': [-0.013856049404580155, 0.006928024702290077, 0.0002664624885496183], 'Magnetic': [-30.45, 19.05, -41.25]}","{'UVA': 0.186767578125, 'UVB': 0.1614990234375, 'UVC': 0.108917236328125, 'Temperature': 26.75}",Error
2024-07-17 16:38:25,{'Temperature': 58.95},{'Usage': 0.0},{'Usage': 12.8},Error,"{'Acceleration': [1.0606313354492187, -0.6919242797851562, -9.943119494628906], 'Gyro': [-0.008526799633587786, 0.003730474839694657, -0.003730474839694657], 'Magnetic': [-30.75, 18.45, -41.1]}","{'UVA': 0.17120361328125, 'UVB': 0.132659912109375, 'UVC': 0.098785400390625, 'Temperature': 26.650000000000006}",Error
2024-07-17 16:38:32,{'Temperature': 58.4},{'Usage': 0.2},{'Usage': 12.8},Error,"{'Acceleration': [1.0319009155273438, -0.7350199096679687, -9.947907897949218], 'Gyro': [-0.00319754986259542, 0.004529862305343512, -0.0021316999083969466], 'Magnetic': [-30.299999999999997, 19.95, -42.15]}","{'UVA': 0.19195556640625, 'UVB': 0.17303466796875, 'UVC': 0.113983154296875, 'Temperature': 26.650000000000006}",Error
2024-07-17 16:38:39,{'Temperature': 58.4},{'Usage': 14.5},{'Usage': 12.8},Error,"{'Acceleration': [1.0917559570312498, -0.6560112548828124, -9.983820922851562], 'Gyro': [-0.009059724610687023, 0.006928024702290077, -0.000799387465648855], 'Magnetic': [-31.5, 18.0, -41.1]}","{'UVA': 0.15045166015625, 'UVB': 0.109588623046875, 'UVC': 0.078521728515625, 'Temperature': 26.650000000000006}",Error
2024-07-17 16:38:46,{'Temperature': 59.5},{'Usage': 0.2},{'Usage': 12.8},Error,"{'Acceleration': [1.0845733520507812, -0.63206923828125, -9.952696301269532], 'Gyro': [-0.00799387465648855, 0.0018652374198473284, 0.003730474839694657], 'Magnetic': [-31.049999999999997, 19.2, -39.9]}","{'UVA': 0.166015625, 'UVB': 0.121124267578125, 'UVC': 0.0810546875, 'Temperature': 26.650000000000006}",Error
2024-07-17 16:38:53,{'Temperature': 59.5},{'Usage': 0.2},{'Usage': 12.8},Error,"{'Acceleration': [1.0845733520507812, -0.6105214233398437, -9.97903251953125], 'Gyro': [-0.006661562213740459, 0.00639509972519084, -0.0005329249770992366], 'Magnetic': [-31.049999999999997, 18.45, -40.65]}","{'UVA': 0.11932373046875, 'UVB': 0.098052978515625, 'UVC': 0.06585693359375, 'Temperature': 26.700000000000003}",Error
2024-07-17 16:39:00,{'Temperature': 58.4},{'Usage': 0.3},{'Usage': 12.8},Error,"{'Acceleration': [1.0223241088867188, -0.6560112548828124, -9.943119494628906], 'Gyro': [-0.010125574564885496, -0.0013323124427480919, -0.0005329249770992366], 'Magnetic': [-30.9, 17.099999999999998, -41.25]}","{'UVA': 0.145263671875, 'UVB': 0.098052978515625, 'UVC': 0.073455810546875, 'Temperature': 26.599999999999994}",Error
