Date,CPUTemp,CPU Usage,RAM Usage,Latitude,Longitude,Altitude,Satellites,Elevation,Azimuth,UTC Time,Acceleration,Gyro,Magnetic,Pressure,BMP Temp,BMP Altitude,UVA,UVB,UVC,UV Temp,Temperature
20:06:47,48.5,Error,13.0,Error,Error,Error,Error,Error,Error,180645.00,"[0.9888052856445312, -2.4588451049804685, -9.809044201660155]","[-0.008793262122137404, 0.007194487190839696, -0.0002664624885496183]","[38.25, 37.35, -66.14999999999999]",Error,Error,Error,0.05706787109375,0.0230712890625,0.0303955078125,27.650000000000006,Error
20:06:51,49.05,0.3,13.1,Error,Error,Error,Error,Error,Error,Error,"[0.9097966308593749, -2.4564509033203126, -9.739612353515625]","[-0.005062787282442748, 0.01119142451908397, -0.0013323124427480919]","[38.4, 36.75, -65.7]",Error,Error,Error,0.12451171875,0.109588623046875,0.083587646484375,27.700000000000003,Error
20:06:54,48.5,1.3,13.1,Error,Error,Error,Error,Error,Error,Error,"[0.9217676391601562, -2.4875755249023435, -9.775525378417969]","[-0.007727412167938932, 0.007727412167938932, -0.002931087374045802]","[38.25, 34.949999999999996, -65.85]",Error,Error,Error,0.12451171875,0.121124267578125,0.098785400390625,27.700000000000003,Error
20:07:01,48.5,2.2,13.1,Error,Error,Error,Error,Error,Error,Error,"[0.9864110839843749, -2.4061726684570313, -9.686939916992188]","[-0.0026646248854961837, 0.011990811984732825, 0.0053292497709923675]","[38.1, 35.1, -66.45]",Error,Error,Error,0.10894775390625,0.086517333984375,0.078521728515625,27.75,Error
20:07:09,49.6,25.2,13.2,Error,Error,Error,Error,Error,Error,Error,"[0.8762778076171874, -2.3965958618164063, -9.720458740234374]","[-0.00985911207633588, 0.005862174748091604, 0.0013323124427480919]","[36.15, 41.1, -63.449999999999996]",Error,Error,Error,0.0518798828125,0.03460693359375,0.0303955078125,27.75,Error
20:07:17,51.25,25.4,13.2,Error,Error, ,Error,Error,Error,180701.00,"[0.7900865478515624, -2.3822306518554686, -9.730035546875]","[-0.01119142451908397, 0.015454824335877864, -0.00159877493129771]","[35.55, 40.5, -63.599999999999994]",Error,Error,Error,0.06744384765625,0.046142578125,0.043060302734375,27.75,Error
20:07:21,50.15,25.2,13.2,Error,Error,Error,Error,Error,Error,Error,"[0.8834604125976562, -2.31758720703125, -9.667786303710937]","[-0.00319754986259542, 0.007460949679389314, 0.0]","[34.35, 42.6, -64.2]",Error,Error,Error,0.103759765625,0.09228515625,0.0709228515625,27.700000000000003,Error
20:07:25,50.15,30.4,13.2,Error,Error,Error,Error,Error,Error,Error,"[0.82360537109375, -2.3127988037109373, -9.713276135253906]","[-0.009326187099236643, 0.008793262122137404, 0.0002664624885496183]","[32.4, 43.05, -64.2]",Error,Error,Error,0.1556396484375,0.144195556640625,0.12158203125,27.75,Error
20:07:29,50.7,25.0,13.2,Error,Error,Error,Error,Error,Error,Error,"[0.8978256225585937, -2.3295582153320313, -9.727641345214844]","[-0.005062787282442748, 0.011457887007633588, -0.0002664624885496183]","[32.699999999999996, 42.3, -64.2]",Error,Error,Error,0.103759765625,0.086517333984375,0.07598876953125,27.700000000000003,Error
20:07:33,50.15,25.1,13.2,Error,Error,Error,Error,Error,Error,Error,"[0.9193734375, -2.3319524169921872, -9.727641345214844]","[-0.0053292497709923675, 0.010392037053435116, -0.0002664624885496183]","[33.3, 44.1, -65.39999999999999]",Error,Error,Error,0.12969970703125,0.12689208984375,0.10638427734375,27.75,Error
