Date,CPUTemp,CPU Usage,RAM Usage,GPS,IMU,UV,Dallas Temperature
2024-07-18 11:10:47,{'Temperature': 74.35},{'Usage': 0.3},{'Usage': 16.7},Error,"{'Acceleration': [0.9696516723632812, -0.6655880615234374, -10.014945544433592], 'Gyro': [-0.004529862305343512, 0.008260337145038169, -0.0005329249770992366], 'Magnetic': [-7.6499999999999995, 27.75, -21.15]}","{'UVA': 4.72625732421875, 'UVB': 0.19610595703125, 'UVC': 0.08612060546875, 'Temperature': 29.299999999999997}",Error
2024-07-18 11:10:53,{'Temperature': 74.35},{'Usage': 0.5},{'Usage': 16.6},Error,"{'Acceleration': [0.9433154541015625, -0.7062894897460937, -9.928754284667969], 'Gyro': [-0.005062787282442748, 0.00799387465648855, -0.0010658499541984733], 'Magnetic': [-7.199999999999999, 27.9, -21.45]}","{'UVA': 4.74700927734375, 'UVB': 0.26531982421875, 'UVC': 0.129180908203125, 'Temperature': 29.349999999999994}",Error
2024-07-18 11:11:00,{'Temperature': 73.25},{'Usage': 0.5},{'Usage': 16.5},Error,"{'Acceleration': [0.9193734375, -0.7134720947265625, -9.97184991455078], 'Gyro': [-0.00639509972519084, 0.008260337145038169, -0.005062787282442748], 'Magnetic': [-8.7, 27.45, -22.5]}","{'UVA': 4.7314453125, 'UVB': 0.21917724609375, 'UVC': 0.103851318359375, 'Temperature': 29.400000000000006}",Error
2024-07-18 11:11:07,{'Temperature': 73.25},{'Usage': 0.2},{'Usage': 16.5},Error,"{'Acceleration': [0.967257470703125, -0.6512228515624999, -9.967061511230469], 'Gyro': [-0.011990811984732825, 0.00479632479389313, 0.0], 'Magnetic': [-10.049999999999999, 28.05, -22.65]}","{'UVA': 4.7833251953125, 'UVB': 0.230712890625, 'UVC': 0.134246826171875, 'Temperature': 29.349999999999994}",Error
2024-07-18 11:11:14,{'Temperature': 73.8},{'Usage': 14.4},{'Usage': 16.5},Error,"{'Acceleration': [0.9935936889648437, -0.6655880615234374, -9.955090502929687], 'Gyro': [-0.0053292497709923675, 0.010392037053435116, -0.0010658499541984733], 'Magnetic': [-8.85, 28.5, -22.349999999999998]}","{'UVA': 4.68994140625, 'UVB': 0.1614990234375, 'UVC': 0.05572509765625, 'Temperature': 29.349999999999994}",Error
2024-07-18 11:11:21,{'Temperature': 74.9},{'Usage': 5.0},{'Usage': 16.5},Error,"{'Acceleration': [1.0031704956054688, -0.6584054565429687, -9.991003527832031], 'Gyro': [-0.006661562213740459, 0.011457887007633588, 0.003730474839694657], 'Magnetic': [-8.7, 27.9, -20.25]}","{'UVA': 4.93377685546875, 'UVB': 0.294158935546875, 'UVC': 0.159576416015625, 'Temperature': 29.349999999999994}",Error
2024-07-18 11:11:28,{'Temperature': 74.35},{'Usage': 0.2},{'Usage': 16.5},Error,"{'Acceleration': [0.967257470703125, -0.6392518432617187, -9.931148486328125], 'Gyro': [-0.0053292497709923675, 0.002931087374045802, -0.00159877493129771], 'Magnetic': [-8.7, 29.4, -22.5]}","{'UVA': 4.75738525390625, 'UVB': 0.2999267578125, 'UVC': 0.159576416015625, 'Temperature': 29.299999999999997}",Error
2024-07-18 11:11:35,{'Temperature': 74.35},{'Usage': 0.2},{'Usage': 16.5},Error,"{'Acceleration': [0.9744400756835937, -0.6727706665039062, -9.95987890625], 'Gyro': [-0.008526799633587786, 0.003730474839694657, 0.004263399816793893], 'Magnetic': [-8.7, 28.349999999999998, -20.7]}","{'UVA': 4.752197265625, 'UVB': 0.259552001953125, 'UVC': 0.1317138671875, 'Temperature': 29.400000000000006}",Error
2024-07-18 11:11:41,{'Temperature': 75.45},{'Usage': 2.3},{'Usage': 16.6},Error,"{'Acceleration': [0.9576806640625, -0.6272808349609375, -9.993397729492187], 'Gyro': [-0.009059724610687023, 0.007460949679389314, -0.0010658499541984733], 'Magnetic': [-8.1, 28.5, -22.349999999999998]}","{'UVA': 4.7210693359375, 'UVB': 0.2076416015625, 'UVC': 0.083587646484375, 'Temperature': 29.400000000000006}",Error
2024-07-18 11:11:48,{'Temperature': 73.8},{'Usage': 0.5},{'Usage': 16.6},Error,"{'Acceleration': [0.9792284790039062, -0.7254431030273437, -9.93354268798828], 'Gyro': [-0.007460949679389314, 0.00639509972519084, -0.00319754986259542], 'Magnetic': [-9.299999999999999, 27.75, -20.099999999999998]}","{'UVA': 4.7314453125, 'UVB': 0.31146240234375, 'UVC': 0.1722412109375, 'Temperature': 29.400000000000006}",Error
