Date,CPUTemp,CPU Usage,RAM Usage,GPS,IMU,UV,Dallas Temperature
2024-07-18 11:30:12,{'Temperature': 79.3},{'Usage': 0.0},{'Usage': 16.7},Error,"{'Acceleration': [0.9959878906249999, -0.718260498046875, -9.945513696289062], 'Gyro': [-0.00985911207633588, 0.002398162396946565, 0.000799387465648855], 'Magnetic': [-7.949999999999999, 28.65, -21.45]}","{'UVA': 4.75738525390625, 'UVB': 0.224945068359375, 'UVC': 0.113983154296875, 'Temperature': 29.799999999999997}",Error
2024-07-18 11:30:16,{'Temperature': 79.85},{'Usage': 9.5},{'Usage': 16.7},Error,"{'Acceleration': [0.93852705078125, -0.6248866333007812, -9.931148486328125], 'Gyro': [-0.0130566619389313, 0.005862174748091604, -0.0010658499541984733], 'Magnetic': [-9.6, 29.25, -21.599999999999998]}","{'UVA': 4.84039306640625, 'UVB': 0.26531982421875, 'UVC': 0.13677978515625, 'Temperature': 29.849999999999994}",Error
2024-07-18 11:30:20,{'Temperature': 82.05},{'Usage': 0.5},{'Usage': 16.7},Error,"{'Acceleration': [0.9193734375, -0.6751648681640625, -9.907206469726562], 'Gyro': [-0.009326187099236643, 0.004263399816793893, -0.000799387465648855], 'Magnetic': [-8.7, 29.4, -21.75]}","{'UVA': 4.7314453125, 'UVB': 0.213409423828125, 'UVC': 0.11651611328125, 'Temperature': 29.849999999999994}",Error
2024-07-18 11:30:24,{'Temperature': 79.3},{'Usage': 0.2},{'Usage': 16.6},Error,"{'Acceleration': [0.9696516723632812, -0.737414111328125, -9.967061511230469], 'Gyro': [-0.004529862305343512, 0.0061286372366412215, -0.0010658499541984733], 'Magnetic': [-8.1, 29.7, -22.65]}","{'UVA': 4.7210693359375, 'UVB': 0.19610595703125, 'UVC': 0.088653564453125, 'Temperature': 29.849999999999994}",Error
2024-07-18 11:30:27,{'Temperature': 80.4},{'Usage': 0.0},{'Usage': 16.8},Error,"{'Acceleration': [0.9457096557617187, -0.679953271484375, -9.945513696289062], 'Gyro': [-0.010658499541984735, 0.00479632479389313, 0.002398162396946565], 'Magnetic': [-8.85, 27.75, -20.849999999999998]}","{'UVA': 4.75738525390625, 'UVB': 0.271087646484375, 'UVC': 0.139312744140625, 'Temperature': 29.849999999999994}",Error
2024-07-18 11:30:31,{'Temperature': 81.5},{'Usage': 5.3},{'Usage': 16.8},Error,"{'Acceleration': [0.9265560424804687, -0.7062894897460937, -9.991003527832031], 'Gyro': [-0.008526799633587786, 0.0053292497709923675, 0.000799387465648855], 'Magnetic': [-9.45, 28.349999999999998, -19.95]}","{'UVA': 4.70550537109375, 'UVB': 0.236480712890625, 'UVC': 0.10638427734375, 'Temperature': 29.900000000000006}",Error
2024-07-18 11:30:35,{'Temperature': 80.95},{'Usage': 0.0},{'Usage': 16.8},Error,"{'Acceleration': [1.0031704956054688, -0.7015010864257812, -9.935936889648437], 'Gyro': [-0.007194487190839696, 0.005595712259541985, -0.0013323124427480919], 'Magnetic': [-9.0, 28.349999999999998, -21.45]}","{'UVA': 4.79888916015625, 'UVB': 0.2537841796875, 'UVC': 0.134246826171875, 'Temperature': 29.849999999999994}",Error
2024-07-18 11:30:39,{'Temperature': 78.75},{'Usage': 0.2},{'Usage': 16.7},Error,"{'Acceleration': [1.0366893188476562, -0.7015010864257812, -9.9981861328125], 'Gyro': [-0.0061286372366412215, 0.003996937328244275, 0.0034640123511450386], 'Magnetic': [-9.0, 29.849999999999998, -21.0]}","{'UVA': 4.73663330078125, 'UVB': 0.28839111328125, 'UVC': 0.164642333984375, 'Temperature': 29.900000000000006}",Error
2024-07-18 11:30:43,{'Temperature': 80.95},{'Usage': 0.3},{'Usage': 16.6},Error,"{'Acceleration': [0.93852705078125, -0.6703764648437499, -9.904812268066406], 'Gyro': [-0.010658499541984735, -0.000799387465648855, -0.005062787282442748], 'Magnetic': [-7.35, 28.5, -20.55]}","{'UVA': 4.7003173828125, 'UVB': 0.1614990234375, 'UVC': 0.06585693359375, 'Temperature': 29.900000000000006}",Error
2024-07-18 11:30:47,{'Temperature': 80.95},{'Usage': 0.3},{'Usage': 16.7},Error,"{'Acceleration': [0.9457096557617187, -0.6679822631835937, -9.97184991455078], 'Gyro': [-0.008793262122137404, -0.0021316999083969466, 0.0018652374198473284], 'Magnetic': [-9.45, 29.099999999999998, -21.45]}","{'UVA': 4.7314453125, 'UVB': 0.201873779296875, 'UVC': 0.09625244140625, 'Temperature': 29.900000000000006}",Error
